word_original,word_translation,blank_prompt_original,blank_prompt_translation,blank_prompt_translation_masked
nine,neuf,"The given expression is the expansion of $(""nine""+1)^3$. In general, the cube of $(x+y)^3$ is \[(x+y)^3=1x^3+3x^2y+3xy^2+1y^3.\] The first and last terms in the given expression are cubes and the middle two terms both have coefficient 3, giving us a clue that this is a cube of a binomial and can be written in the form \[(x+y)^3\]In this case, $x=9$ and $y=1$, so our answer is\[(9+1)^3\ = 10^3 = \boxed{1000}\]. Answer: ""nine"".","L'expression donnée est l'expansion de $(""neuf""+1)^3$. En général, le cube de $(x+y)^3$ est \[(x+y)^3=1x^3+3x^2y+3xy^2+1y^3.\] Les premiers et les derniers termes de l'expression donnée sont des cubes et les deux termes du milieu ont le coefficient 3, ce qui nous donne un indice qu'il s'agit d'un cube d'un binomial et peut être écrit sous la forme \[(x+y)^3\]Dans ce cas, $x=9$ et $y=1$, de sorte que notre réponse est\[(9+1)^3\ = 10^3 = \boxed{1000}\]. Réponse: ""neuf"".","L'expression donnée est l'expansion de $(""___""+1)^3$. En général, le cube de $(x+y)^3$ est \[(x+y)^3=1x^3+3x^2y+3xy^2+1y^3.\] Les premiers et les derniers termes de l'expression donnée sont des cubes et les deux termes du milieu ont le coefficient 3, ce qui nous donne un indice qu'il s'agit d'un cube d'un binomial et peut être écrit sous la forme \[(x+y)^3\]Dans ce cas, $x=9$ et $y=1$, de sorte que notre réponse est\[(9+1)^3\ = 10^3 = \boxed{1000}\]. Réponse: ""neuf""."
two,deux,"There are two cases here: either Tom chooses two yellow marbles (1 result), or he chooses two marbles of different colors ($\binom{4}{""two""}=6$ results). The total number of distinct pairs of marbles Tom can choose is $1+6=\boxed{7}$. Answer: ""two"".","Il y a deux cas ici : soit Tom choisit deux marbres jaunes (1 résultat), soit il choisit deux marbres de couleurs différentes ($\binom{4}{""deux""}=6$ résultats). Le nombre total de paires distinctes de marbres que Tom peut choisir est $1+6=\boxed{7}$. Réponse: ""deux"".","Il y a deux cas ici : soit Tom choisit deux marbres jaunes (1 résultat), soit il choisit deux marbres de couleurs différentes ($\binom{4}{""___""}=6$ résultats). Le nombre total de paires distinctes de marbres que Tom peut choisir est $1+6=\boxed{7}$. Réponse: ""deux""."
eight,huit,"Let's first look at the four things the question tells us: First, the number of dogs is $x+y+z+10=\frac{32}{2}$, so $x+y+z=6.$ The number of cats is $w + x+ z +9= 32\times\frac{3}{""eight""}$, so $w + x + z= 3$ Since 6 people have other pets, $w+y+z=4.$ The total number of people with pets is $$w+x+y+z+2+9+10=32-5,$$ so $w+x+y+z=6.$ From here, we can subtract the third equation from the fourth, to find that $x=2$. Plugging that into the first equation, we find $y+z=4$. From the third equation, we can then see, $w=0$. Finally, from the second equation, we find $z=1$. Thus, there is $\boxed{1}$ student with cats, dogs, and other pets. Answer: ""eight"".","Examinons d'abord les quatre choses que nous dit la question : D'abord, le nombre de chiens est $x+y+z+10=\frac{32}{2}$, donc $x+y+z=6.$ Le nombre de chats est $w + x+ z +9= 32\times\frac{3}{""huit""}$, donc $w + x + z= 3$ Depuis 6 personnes ont d'autres animaux, $w+y+z=4.$ Le nombre total de personnes avec des animaux de compagnie est $$w+x+y+z+2+9+10=32-5,$$$ donc $w+x+y+z=6.$ D'ici, nous pouvons soustraire la troisième équation de la quatrième, pour découvrir que $x=2$. Réponse: ""huit"".","Examinons d'abord les quatre choses que nous dit la question : D'abord, le nombre de chiens est $x+y+z+10=\frac{32}{2}$, donc $x+y+z=6.$ Le nombre de chats est $w + x+ z +9= 32\times\frac{3}{""___""}$, donc $w + x + z= 3$ Depuis 6 personnes ont d'autres animaux, $w+y+z=4.$ Le nombre total de personnes avec des animaux de compagnie est $$w+x+y+z+2+9+10=32-5,$$$ donc $w+x+y+z=6.$ D'ici, nous pouvons soustraire la troisième équation de la quatrième, pour découvrir que $x=2$. Réponse: ""huit""."
three,trois,"By the binomial theorem, $(m+n)^6$ expands as \begin{align*} \binom60m^6+\binom61m^5n&+\binom62m^4n^2+\binom63m^3n^""three""\\ &+\binom64m^2n^4+\binom65mn^5+\binom66n^6. \end{align*} Since $m$ and $n$ are odd, each of these terms is odd if and only if the binomial coefficient is odd. Since $\binom60=\binom66=1$, $\binom61=\binom65=6$, $\binom62=\binom64=15$, and $\binom63=20$, exactly $\boxed{4}$ of these terms are odd. Answer: ""three"".","Par le théorème binomial, $(m+n)^6$ se développe sous la forme de \begin{align*} \binom60m^6+\binom61m^5n&+\binom62m^4n^2+\binom63m^3n^""trois""\\ &+\binom64m^2n^4+\binom65mn^5+\binom66n^6. \end{align*} Comme $m$ et $n$ sont impairs, chacun de ces termes est impair si et seulement si le coefficient binomial est impair. Depuis $\binom60=\binom66=$, $\binom61=\binom65=6$, $\binom62=\binom64=15$, et $\binom63=20$, exactement $\boxed{4}$ de ces termes sont impairs. Réponse: ""trois"".","Par le théorème binomial, $(m+n)^6$ se développe sous la forme de \begin{align*} \binom60m^6+\binom61m^5n&+\binom62m^4n^2+\binom63m^3n^""___""\\ &+\binom64m^2n^4+\binom65mn^5+\binom66n^6. \end{align*} Comme $m$ et $n$ sont impairs, chacun de ces termes est impair si et seulement si le coefficient binomial est impair. Depuis $\binom60=\binom66=$, $\binom61=\binom65=6$, $\binom62=\binom64=15$, et $\binom63=20$, exactement $\boxed{4}$ de ces termes sont impairs. Réponse: ""trois""."
ten,dix,"We can find the probability that no women are selected and subtract it from 1 to find the probability that at least one woman is selected. To find the probability that only men are selected, we consider that the chance that the first person selected is male is $\frac{7}{""ten""}$. Then the probability that the second person selected is male is reduced to $\frac{6}{9}=\frac{2}{3}$. For the third person, the probability is $\frac{5}{8}$. So the probability that only men are selected is $$\frac{7}{10}\cdot\frac{2}{3}\cdot\frac{5}{8}=\frac{7}{24}.$$ Notice that the 2 and 5 in the numerator cancel with the 10 in the denominator to leave $\frac{7}{24}$. Now we ""subtract"" from 1 to find the probability that at least one woman is selected. The probability is $1-\frac{7}{24}=\boxed{\frac{17}{24}}$. Answer: ""ten"".","Nous pouvons trouver la probabilité qu'aucune femme ne soit sélectionnée et la soustraire de 1 pour trouver la probabilité qu'au moins une femme soit sélectionnée. Pour trouver la probabilité que seuls les hommes soient sélectionnés, nous considérons que la probabilité que la première personne sélectionnée soit un homme est $\frac{7}{""dix""}$. Ensuite, la probabilité que la deuxième personne sélectionnée soit un homme est réduite à $\frac{6}{9}=\frac{2}{3}$. Pour la troisième personne, la probabilité est $\frac{5}{8}$. Ainsi, la probabilité que seuls les hommes soient sélectionnés est $$\frac{7}{10}\cdot\frac{2}{3}\cdot\frac{5}{8}=\frac{7}{24}.$ Notez que les 2 et 5 dans le numérateur annulent avec le 10 dans le dénominateur pour laisser $\frac{7}{24}$. Maintenant, nous soustraitons de 1 pour trouver la probabilité qu'au moins une femme soit sélectionnée. Réponse: ""dix"".","Nous pouvons trouver la probabilité qu'aucune femme ne soit sélectionnée et la soustraire de 1 pour trouver la probabilité qu'au moins une femme soit sélectionnée. Pour trouver la probabilité que seuls les hommes soient sélectionnés, nous considérons que la probabilité que la première personne sélectionnée soit un homme est $\frac{7}{""___""}$. Ensuite, la probabilité que la deuxième personne sélectionnée soit un homme est réduite à $\frac{6}{9}=\frac{2}{3}$. Pour la troisième personne, la probabilité est $\frac{5}{8}$. Ainsi, la probabilité que seuls les hommes soient sélectionnés est $$\frac{7}{10}\cdot\frac{2}{3}\cdot\frac{5}{8}=\frac{7}{24}.$ Notez que les 2 et 5 dans le numérateur annulent avec le 10 dans le dénominateur pour laisser $\frac{7}{24}$. Maintenant, nous soustraitons de 1 pour trouver la probabilité qu'au moins une femme soit sélectionnée. Réponse: ""dix""."
seven,sept,"Bill cannot purchase ""seven"" jogs, because then he would only have one dollar left over and could not purchase at least one jag and one jig as well. However, Bill can purchase $\boxed{6}$ jogs if, for example, he also purchases 2 jags and 3 jigs. Answer: ""seven"".","Bill ne peut pas acheter ""sept"" joggs, car alors il n'aurait plus qu'un dollar et ne pourrait pas acheter au moins un jag et un jig aussi. Cependant, Bill peut acheter $\boxed{6}$ joggs si, par exemple, il achète également 2 jags et 3 jigs. Réponse: ""sept"".","Bill ne peut pas acheter ""___"" joggs, car alors il n'aurait plus qu'un dollar et ne pourrait pas acheter au moins un jag et un jig aussi. Cependant, Bill peut acheter $\boxed{6}$ joggs si, par exemple, il achète également 2 jags et 3 jigs. Réponse: ""sept""."
five,cinq,"For the first die to be less than three, it must be a 1 or a 2, which occurs with probability $\frac{1}{3}$. For the second die to be greater than 3, it must be a 4 or a ""five"" or a 6, which occurs with probability $\frac{1}{2}$. The probability of both of these events occuring, as they are independent, is $\frac{1}{3} \cdot \frac{1}{2} = \boxed{\frac{1}{6}}$. Answer: ""five"".","Pour que la première matrice soit inférieure à trois, elle doit être un 1 ou un 2, qui se produit avec la probabilité $\frac{1}{3}$. Pour que la deuxième matrice soit supérieure à 3, elle doit être un 4 ou un ""cinq"" ou un 6, qui se produit avec la probabilité $\frac{1}{2}$. La probabilité de ces deux événements se produisant, comme ils sont indépendants, est $\frac{1}{3} \cdot \frac{1}{2} = \boxed{\frac{1}{6}}$. Réponse: ""cinq"".","Pour que la première matrice soit inférieure à trois, elle doit être un 1 ou un 2, qui se produit avec la probabilité $\frac{1}{3}$. Pour que la deuxième matrice soit supérieure à 3, elle doit être un 4 ou un ""___"" ou un 6, qui se produit avec la probabilité $\frac{1}{2}$. La probabilité de ces deux événements se produisant, comme ils sont indépendants, est $\frac{1}{3} \cdot \frac{1}{2} = \boxed{\frac{1}{6}}$. Réponse: ""cinq""."
four,quatre,"If the odds for pulling a prize out of the box are $3:4$, that means that 3 out of 7 times will result in a prize, while ""four"" out of 7 times will not. So the probability of not pulling the prize out of the box is $\boxed{\frac{4}{7}}$. Answer: ""four"".","Si les chances pour tirer un prix hors de la boîte sont $3:4$, cela signifie que 3 sur 7 fois se traduira par un prix, tandis que ""quatre"" sur 7 fois ne le feront pas. Donc la probabilité de ne pas tirer le prix hors de la boîte est $\boxed{\frac{4}{7}}$. Réponse: ""quatre"".","Si les chances pour tirer un prix hors de la boîte sont $3:4$, cela signifie que 3 sur 7 fois se traduira par un prix, tandis que ""___"" sur 7 fois ne le feront pas. Donc la probabilité de ne pas tirer le prix hors de la boîte est $\boxed{\frac{4}{7}}$. Réponse: ""quatre""."
one,un,"We are interested in how many numbers among $7, 8, 9, \dots, 59$ are relatively prime to 15. First, we count how many numbers among $""one"", 2, 3, \dots, 60$ are relatively prime to 15. Note that $15 = 3 \cdot 5$. Among these 60 numbers, $60/3 = 20$ are multiples of 3, $60/5 = 12$ are multiples of 5, and $60/15 = 4$ are multiples of 15. We can take 60, and subtract 20 and 12, but we have subtracted the multiples of 15 twice. Therefore, among the 60 numbers, there are $60 - 20 - 12 + 4 = 32$ numbers that are relatively prime to 15. Going back to the set $7, 8, 9, \dots, 59$, we must account for the numbers 1, 2, and 4 that are relatively prime to 15. Thus, the answer is $32 - 3 = \boxed{29}$. Answer: ""one"".","Nous sommes intéressés par le nombre de nombres parmi 7, 8, 9, \dots, 59$ sont relativement prime à 15. Premièrement, nous comptons combien de nombres parmi ""un"", 2, 3, \dots, 60$ sont relativement prime à 15. Notez que 15 $ = 3 \cdot 5$. Parmi ces 60 nombres, 60/3 $ = 20$ sont multiples de 3, 60/5 $ = 12$ sont multiples de 5, et 60/15 $ = 4$ sont multiples de 15. Nous pouvons prendre 60 $, et soustraire 20 et 12, mais nous avons soustrait les multiples de 15 deux fois. Par conséquent, parmi les 60 nombres, il y a 60 $ - 20 - 12 + 4 = 32$ les nombres qui sont relativement prime à 15. Réponse: ""un"".","Nous sommes intéressés par le nombre de nombres parmi 7, 8, 9, \dots, 59$ sont relativement prime à 15. Premièrement, nous comptons combien de nombres parmi ""___"", 2, 3, \dots, 60$ sont relativement prime à 15. Notez que 15 $ = 3 \cdot 5$. Parmi ces 60 nombres, 60/3 $ = 20$ sont multiples de 3, 60/5 $ = 12$ sont multiples de 5, et 60/15 $ = 4$ sont multiples de 15. Nous pouvons prendre 60 $, et soustraire 20 et 12, mais nous avons soustrait les multiples de 15 deux fois. Par conséquent, parmi les 60 nombres, il y a 60 $ - 20 - 12 + 4 = 32$ les nombres qui sont relativement prime à 15. Réponse: ""un""."
six,soixante,"We put the time the train arrives on the $y$-axis and the time John arrives on the $x$-axis, and shade in the region where John arrives while the train is there. [asy] draw((0,0)--(""sixty"",0)); draw((0,0)--(0,60)--(60,60)--(60,0)); label(""2:00"", (0,0), SW); label(""3:00"", (60,0), S); label(""3:00"", (0,60), W); label(""2:20"",(20,0),S); fill((0,0)--(60,60)--(60,40)--(20,0)--cycle, gray(.7)); [/asy] The probability that John arrives while the train is at the station is the ratio of the shaded area to the whole square. If we divide the axes into 60 units, the shaded region can be split up into a triangle of area $20\cdot 20/2=200$ square units and a parallelogram of area $20\cdot 40=800$ square units, and the whole square has an area of 3600 square units. The ratio is $1000/3600=\boxed{\frac{5}{18}}$. Answer: ""sixty"".","Nous mettons le temps que le train arrive sur l'axe $y$ et le temps que John arrive sur l'axe $x$, et l'ombre dans la région où John arrive pendant que le train est là. [asy] tirage((0,0)--(""soixante"",0)); tirage(0,00)--(0,60)--(60,60)--(60,0)); étiquette(""2:00"", (0,0), SW); étiquette(""3:00"", (60,0), S); étiquette(""3:00"", (0,60), W); étiquette(""2:20"",(20,0), S); remplissage((0,0)--(60,60)--(60,40)--(20,0)-cycle, gris(.7)); [/asy] La probabilité que John arrive alors que le train est à la station est le rapport de la zone ombragée au carré entier. Réponse: ""soixante"".","Nous mettons le temps que le train arrive sur l'axe $y$ et le temps que John arrive sur l'axe $x$, et l'ombre dans la région où John arrive pendant que le train est là. [asy] tirage((0,0)--(""___"",0)); tirage(0,00)--(0,60)--(60,60)--(60,0)); étiquette(""2:00"", (0,0), SW); étiquette(""3:00"", (60,0), S); étiquette(""3:00"", (0,60), W); étiquette(""2:20"",(20,0), S); remplissage((0,0)--(60,60)--(60,40)--(20,0)-cycle, gris(.7)); [/asy] La probabilité que John arrive alors que le train est à la station est le rapport de la zone ombragée au carré entier. Réponse: ""soixante""."
